company,cik,filename,year,variable,value_usd,unit,category_value,section
AIG,5272,AIG 2020 Form 10-K (aig-annual-report_2020.pdf),2020,Total revenues,"43,736",USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2019 column),2019,Total revenues,"49,746",USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2018 column),2018,Total revenues,"47,389",USD millions,,section_8
AIG,5272,AIG 2017 Form 10-K (december-31-2017.pdf),2017,Total revenues,"49,520",USD millions,,section_8
AIG,5272,AIG 2017 Form 10-K (includes 2016 column),2016,Total revenues,"52,367",USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (aig-annual-report_2020.pdf),2020,Net income (loss) attributable to AIG,"-5,944",USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2019 column),2019,Net income (loss) attributable to AIG,"3,348",USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2018 column),2018,Net income (loss) attributable to AIG,-6,USD millions,,section_8
AIG,5272,AIG 2017 Form 10-K (december-31-2017.pdf),2017,Net income (loss) attributable to AIG,-6084,USD millions,,section_8
AIG,5272,AIG 2017 Form 10-K (includes 2016 column),2016,Net income (loss) attributable to AIG,-849,USD millions,,section_8
AIG,5272,AIG 2020 Form 10-K (aig-annual-report_2020.pdf),2020,Auditor firm,,,PricewaterhouseCoopers LLP,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2019 column),2019,Auditor firm,,,PricewaterhouseCoopers LLP,section_8
AIG,5272,AIG 2020 Form 10-K (includes 2018 column),2018,Auditor firm,,,PricewaterhouseCoopers LLP,section_8
AIG,5272,AIG 2017 Form 10-K (december-31-2017.pdf),2017,Auditor firm,,,PricewaterhouseCoopers LLP,section_8
AIG,5272,AIG 2017 Form 10-K (includes 2016 column),2016,Auditor firm,,,PricewaterhouseCoopers LLP,section_8